"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 18 23:23:09 GMT 2022","Fri Feb 18 23:23:10 GMT 2022","840","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf nao informado","Enviar dados de cadastro com cpf nao informado",""
"broken","Fri Feb 18 23:23:05 GMT 2022","Fri Feb 18 23:23:06 GMT 2022","1418","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cpf invalido","Enviar dados de cadastro com cpf invalido",""
"broken","Fri Feb 18 23:22:58 GMT 2022","Fri Feb 18 23:23:03 GMT 2022","5105","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com sucesso","Enviar dados de cadastro com sucesso",""
"passed","Fri Feb 18 23:23:08 GMT 2022","Fri Feb 18 23:23:09 GMT 2022","867","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com nome nao informado","Enviar dados de cadastro com nome nao informado",""
"passed","Fri Feb 18 23:23:12 GMT 2022","Fri Feb 18 23:23:13 GMT 2022","771","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com metodo nao informado","Enviar dados de cadastro com metodo nao informado",""
"passed","Fri Feb 18 23:23:11 GMT 2022","Fri Feb 18 23:23:12 GMT 2022","781","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com numero nao informado","Enviar dados de cadastro com numero nao informado",""
"passed","Fri Feb 18 23:23:10 GMT 2022","Fri Feb 18 23:23:10 GMT 2022","789","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email nao informado","Enviar dados de cadastro com email nao informado",""
"broken","Fri Feb 18 23:23:06 GMT 2022","Fri Feb 18 23:23:08 GMT 2022","1361","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com email invalido","Enviar dados de cadastro com email invalido",""
"passed","Fri Feb 18 23:23:10 GMT 2022","Fri Feb 18 23:23:11 GMT 2022","786","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cep nao informado","Enviar dados de cadastro com cep nao informado",""
"passed","Fri Feb 18 23:23:03 GMT 2022","Fri Feb 18 23:23:05 GMT 2022","2096","","Validar cadastro de entregador","","Validar cadastro de entregador","Ao buscar CEP deve encontrar o endereco correto","Ao buscar CEP deve encontrar o endereco correto",""
"passed","Fri Feb 18 23:23:13 GMT 2022","Fri Feb 18 23:23:13 GMT 2022","781","","Validar cadastro de entregador","","Validar cadastro de entregador","Enviar dados de cadastro com cnh nao nao informada","Enviar dados de cadastro com cnh nao nao informada",""
